	Date	Teams	Win_Team	League	Stadiun
0	Mar 09, Sun	 New Zealand vs India, Final 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
1	Mar 09, Sun	 New Zealand vs India, Final 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
2	Mar 04, Tue	 Australia vs India, 1st Semi-Final (A1 v B2) 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
3	Mar 09, Sun	 New Zealand vs India, Final 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
4	Mar 04, Tue	 Australia vs India, 1st Semi-Final (A1 v B2) 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
5	Mar 02, Sun	 India vs New Zealand, 12th Match, Group A 	 India won by 44 runs 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
6	Mar 09, Sun	 New Zealand vs India, Final 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
7	Mar 04, Tue	 Australia vs India, 1st Semi-Final (A1 v B2) 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
8	Mar 02, Sun	 India vs New Zealand, 12th Match, Group A 	 India won by 44 runs 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
9	Feb 23, Sun	 Pakistan vs India, 5th Match, Group A 	 India won by 6 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
10	Mar 09, Sun	 New Zealand vs India, Final 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
11	Mar 04, Tue	 Australia vs India, 1st Semi-Final (A1 v B2) 	 India won by 4 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
12	Mar 02, Sun	 India vs New Zealand, 12th Match, Group A 	 India won by 44 runs 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
13	Feb 23, Sun	 Pakistan vs India, 5th Match, Group A 	 India won by 6 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
14	Feb 20, Thu	 Bangladesh vs India, 2nd Match, Group A 	 India won by 6 wkts 	ICC Champions Trophy, 2025	 Dubai International Cricket Stadium, Dubai 
